country,year,inv,gdppc,remit,aid,lendint,open,gs
Comoros,2001 ,10.05250217,361.2062833,,12.52069053,12,46.31409329,
Comoros,2002 ,11.01100021,366.2999224,,10.98094211,12,46.49067353,
Comoros,2003 ,10.30506582,365.4448152,5.859081608,7.563082653,11.83333333,48.7057842,4.425298234
Comoros,2004 ,9.358424656,354.8957028,7.685739546,7.262282678,11,48.08977966,6.840509957
"Congo, Rep.",1980 ,35.76581576,970.9736321,0.18618202,5.343543695,11,120.1442841,26.12098435
"Congo, Rep.",1981 ,48.16318996,1108.999004,0.133121407,4.035089172,11,134.1148237,25.04728798
"Congo, Rep.",1982 ,59.73239437,1330.854746,0.098660381,4.25521956,11,123.7746479,39.25060045
"Congo, Rep.",1983 ,38.43843856,1367.905967,0.076747265,5.118548419,12,109.7097097,36.13413773
"Congo, Rep.",1984 ,30.39123631,1421.332509,0.049576699,4.400110316,12,107.2509129,40.48752461
"Congo, Rep.",1985 ,30.28430264,1364.792651,0.026165809,3.194080108,12,112.7935723,24.87331121
"Congo, Rep.",1986 ,29.45062753,1235.794962,0.00234224,5.798509873,11.5,93.50223489,18.34994921
"Congo, Rep.",1987 ,19.72836302,1204.154144,0.000434431,5.985411014,11.125,80.35519248,24.995918
"Congo, Rep.",1988 ,18.61911988,1192.17118,0.20030349,3.914060053,11.79166667,81.04704097,5.351777056
"Congo, Rep.",1989 ,14.50872395,1190.261643,0.184310791,3.788092749,12.5,83.35300932,14.59950074
"Congo, Rep.",1990 ,17.23097113,1170.024588,0.156383181,7.759189154,13.5,34.63251444,31.77735958
"Congo, Rep.",1991 ,19.65656303,1166.299382,0.159614389,4.89090513,18.14583333,73.11631091,17.57838975
"Congo, Rep.",1992 ,20.58217414,1165.298657,0.147337899,3.848667876,17.77083333,59.31741892,32.33210208
"Congo, Rep.",1993 ,28.94356006,1123.5342,0.223778352,6.376336715,17.45833333,75.54706653,21.08028559
"Congo, Rep.",1994 ,52.93884116,1033.593241,0.241144637,20.45083464,17.5,137.2152582,28.80795333
"Congo, Rep.",1995 ,34.30034558,1045.775938,0.200340845,5.900745357,16,128.3125043,-2.301749771
"Congo, Rep.",1996 ,31.7209356,1060.600119,0.30776333,16.89654095,22,128.4076633,-0.20924836
"Congo, Rep.",1997 ,21.59902633,1024.542516,0.196946227,11.56360232,22,135.7581795,9.274813016
"Congo, Rep.",1998 ,24.33675333,1033.349474,0.099382662,3.329603486,22,148.9016625,6.024347441
"Congo, Rep.",1999 ,26.58524805,979.6144362,0.495618574,5.962421388,22,131.3941903,17.68209575
"Congo, Rep.",2000 ,20.91166848,1026.831555,0.321526718,0.995058662,22,123.9098844,36.17262976
"Congo, Rep.",2001 ,26.26875946,1040.151821,0.433725528,2.640413077,20.66666667,130.7324811,22.02523533
"Congo, Rep.",2002 ,22.54294741,1062.807865,0.03895672,1.909275491,18,135.4560711,23.54827371
"Congo, Rep.",2003 ,25.48002788,1047.17437,0.354365587,1.978049104,18,156.8617773,30.74157346
"Congo, Rep.",2004 ,21.90546993,1058.23658,0.321687434,2.484173376,18,131.3681987,17.04504336
Cote d'Ivoire,1980 ,24.35462174,909.0070675,0.316293787,2.061791318,14.5,76.1802897,8.558322443
Cote d'Ivoire,1981 ,24.36938258,900.0737956,0.366588125,1.459219536,14.5,77.45919888,6.955372664
Cote d'Ivoire,1982 ,21.66411974,863.4311611,0.382047785,1.802933809,16,75.75002167,8.364286815
Cote d'Ivoire,1983 ,17.72200553,795.2365324,0.395272091,2.271363018,14.5,72.68017697,5.303550199
Cote d'Ivoire,1984 ,12.96537906,742.6592873,0.364609482,1.797668592,14.5,77.10319819,14.13614568
Cote d'Ivoire,1985 ,11.77108552,746.1494783,0.344519586,1.681941472,14.5,79.17251371,13.93071406
Cote d'Ivoire,1986 ,11.8174755,742.0833526,0.390973052,1.904501488,13.5,69.67735716,9.951365075
Cote d'Ivoire,1987 ,11.76969848,713.4016106,0.425502581,2.38390402,13.5,63.05024828,3.744519039
Cote d'Ivoire,1988 ,11.4848529,696.8595185,0.415782166,4.141618401,13.58333333,58.37827152,1.538602086
Cote d'Ivoire,1989 ,10.31752261,693.3078299,0.363029468,4.043695761,15.08333333,61.08854404,-4.377139257
Cote d'Ivoire,1990 ,8.502141866,662.8675347,0.411658443,6.357998331,16,58.80149561,-5.106804618
Cote d'Ivoire,1991 ,8.57419991,641.2072899,0.395264526,6.003262145,16,56.99782131,-3.697247547
Cote d'Ivoire,1992 ,8.502421731,618.8025745,0.443997119,6.775772848,16.75,60.02506534,-2.232309597
Cote d'Ivoire,1993 ,9.345464499,598.018497,0.521142067,6.907899334,,55.34852185,-0.802121443
Cote d'Ivoire,1994 ,11.54921231,584.5253864,1.328068385,19.16267491,,69.83665802,14.22915815
Cote d'Ivoire,1995 ,13.68612315,608.1200345,1.373229675,11.01658078,,76.20234391,11.78680097
Cote d'Ivoire,1996 ,14.80802716,637.2058658,1.210978401,7.942593268,,73.51927601,10.42808331
Cote d'Ivoire,1997 ,14.33666716,656.158427,1.163420028,3.807472025,,74.5100372,13.37056083
Cote d'Ivoire,1998 ,10.68676983,670.6147102,1.115328003,7.565614594,,72.46157722,10.66556603
Cote d'Ivoire,1999 ,14.41081361,665.9728897,1.095537447,3.562788303,,72.5352477,11.72883198
Cote d'Ivoire,2000 ,11.19096094,628.2281148,1.145401594,3.365344729,,73.75112921,7.9836585
Cote d'Ivoire,2001 ,9.893791801,616.5235814,1.100063388,1.762967993,,75.30691712,10.59092379
Cote d'Ivoire,2002 ,10.87799701,597.5229751,1.045494297,9.29530084,,83.42795434,16.75300222
Cote d'Ivoire,2003 ,9.715427691,578.9671333,1.030782051,1.846553784,,80.74793396,12.25793992
Cote d'Ivoire,2004 ,9.845415182,580.1682888,1.028339677,1.03687772,,87.91055829,12.35805024
Ethiopia,1980 ,,,,,,,
Ethiopia,1981 ,14.50556319,140.6684857,0.144213626,3.368348487,,19.56254516,11.0570831
Ethiopia,1982 ,14.69082112,138.0133541,0.133262127,2.605957323,,19.17206228,10.84064458
Ethiopia,1983 ,13.02580999,144.7947735,0.129540434,3.976950972,,17.79987829,10.99320695
Ethiopia,1984 ,17.76891354,136.1884244,0.14309815,4.473192257,,21.50380395,15.38047314
Ethiopia,1985 ,11.42974715,117.1536725,0.150954066,7.635547797,8.5,17.33609896,11.90977081
Ethiopia,1986 ,16.96942202,124.4127561,0.138891214,6.457194395,7.25,19.06862685,13.19571313
Ethiopia,1987 ,16.1337415,137.1780919,0.081847136,5.966007012,6,17.61794291,13.89862106
Ethiopia,1988 ,23.38364447,133.4868899,0.104419346,8.917861953,6,17.44160067,21.18627767
Ethiopia,1989 ,13.54478752,128.716647,0.056837966,6.390136837,6,17.14640249,11.8269109
Ethiopia,1990 ,12.93534051,127.8881274,0.043181114,8.352936674,6,14.40627512,12.81134878
Ethiopia,1991 ,11.06835527,114.8041785,0.073034412,8.171794726,6,13.23948014,9.18408303
Ethiopia,1992 ,10.71359547,101.3381627,0.144232184,11.16385247,8,10.83072511,14.1975054
Ethiopia,1993 ,16.52987789,110.8595871,0.245492221,14.43475561,14,20.18409924,13.90777082
Ethiopia,1994 ,16.37967509,110.7151708,0.338467166,14.61162522,14.33333333,21.22213209,18.2319841
Ethiopia,1995 ,17.95807832,113.8715341,0.354270169,11.34934255,15.08333333,25.41510765,20.66119575
Ethiopia,1996 ,16.60465852,124.2481159,0.189756634,9.670327022,13.91666667,25.54261953,17.03419881
Ethiopia,1997 ,19.7504154,124.5247598,0.107213603,6.716193148,10.5,29.23200073,17.01141459
Ethiopia,1998 ,21.15280729,116.9460052,0.349981069,8.459158722,10.5,33.37795149,20.04787064
Ethiopia,1999 ,21.91433626,119.7201104,0.455687021,8.688406473,10.58166667,35.76611581,15.43349452
Ethiopia,2000 ,20.27967831,123.6809168,0.65541392,8.472968839,10.89166667,36.00442204,15.96642395
Ethiopia,2001 ,21.45324651,130.5134412,0.22768624,13.71472031,10.86516667,35.7245726,19.42277525
Ethiopia,2002 ,23.92655274,129.157133,0.424636271,17.04858233,8.661,39.20873362,20.43200422
Ethiopia,2003 ,21.8438174,123.2536677,0.544214707,19.04720163,7,40.73143926,21.41873278
Ethiopia,2004 ,25.46706404,136.6187298,1.332719211,18.21932628,7,46.48114212,22.14600522
Gabon,1980 ,26.67551427,5265.343122,0.00110595,1.298707995,12.5,96.35036496,47.83123203
Gabon,1981 ,33.07289185,5373.963444,0.004764173,1.117736713,12.5,104.0590758,48.84230586
Gabon,1982 ,32.34081924,5054.612033,0.001682227,1.709504309,12.45833333,101.2616705,46.65152662
Gabon,1983 ,36.32283525,5179.043572,0.008511955,1.8712722,13,104.8672909,41.63120019
Gabon,1984 ,31.30060404,5400.012659,0.002570364,2.113744879,13,99.29314998,43.68140342
Gabon,1985 ,40.87304232,5113.415634,0.003998667,1.818908696,12.66666667,119.8533822,37.12695768
Gabon,1986 ,46.1016374,4917.137281,0.006787138,2.310762646,11.5,89.89564775,15.29227115
Gabon,1987 ,27.62851061,3949.078687,0.009125013,2.506553545,11.125,87.91442761,12.67565654
Gabon,1988 ,37.93888456,4318.828219,0.00350232,2.757593085,11.79166667,78.52202075,21.41055959
Gabon,1989 ,26.02770498,4541.664387,0.003743916,3.154491653,12.5,86.99363534,22.29277424
Gabon,1990 ,21.44884611,4626.781529,0.01471504,2.204696293,12.5,76.89744539,24.25212884
Gabon,1991 ,26.11860279,4753.106746,0.029521613,2.641349596,18.14583333,80.53493855,27.99446428
Gabon,1992 ,22.06369148,4459.123397,0.041380796,1.221481153,17.77083333,79.86884209,19.14930046
Gabon,1993 ,22.88939326,4489.095839,0.06927537,2.298884658,17.45833333,83.34303654,17.83978601
Gabon,1994 ,21.07219786,4513.865843,0.089540225,4.314908018,17.5,99.9266868,29.44613667
